date,province,temperature,humidity,season
2016-02-03,Ho Chi Minh City,26.4,77.4,dry
2016-02-04,Hanoi,15.3,87.7,winter
2016-02-04,Ho Chi Minh City,27.0,76.8,dry
2016-02-05,Hanoi,18.2,74.5,winter
2016-02-05,Ho Chi Minh City,26.0,65.0,dry
2016-02-06,Hanoi,18.0,74.2,winter
2016-02-06,Ho Chi Minh City,26.4,69.9,dry
2016-02-07,Hanoi,19.0,73.7,winter
2016-02-07,Ho Chi Minh City,27.4,71.4,dry
2016-02-08,Hanoi,13.8,76.6,winter
2016-02-08,Ho Chi Minh City,28.2,66.3,dry
2016-02-09,Hanoi,15.1,90.0,winter
2016-02-09,Ho Chi Minh City,28.5,68.9,dry
2016-02-10,Hanoi,17.7,79.0,winter
2016-02-10,Ho Chi Minh City,26.4,74.4,dry
2016-02-11,Hanoi,17.8,87.4,winter
2016-02-11,Ho Chi Minh City,26.9,75.9,dry
2016-02-12,Hanoi,13.7,87.4,winter
2016-02-12,Ho Chi Minh City,26.5,64.4,dry
2016-02-13,Hanoi,16.7,80.8,winter
2016-02-13,Ho Chi Minh City,27.6,78.0,dry
2016-02-14,Hanoi,14.9,87.6,winter
2016-02-14,Ho Chi Minh City,27.8,77.5,dry
2016-02-15,Hanoi,18.2,83.6,winter
2016-02-15,Ho Chi Minh City,27.9,63.8,dry
2016-02-16,Hanoi,17.8,79.2,winter
2016-02-16,Ho Chi Minh City,28.6,77.9,dry
2016-02-17,Hanoi,20.2,77.7,winter
2016-02-17,Ho Chi Minh City,26.2,74.7,dry
2016-02-18,Hanoi,15.9,76.1,winter
2016-02-18,Ho Chi Minh City,27.5,65.4,dry
2016-02-19,Hanoi,17.3,90.5,winter
2016-02-19,Ho Chi Minh City,27.3,68.6,dry
2016-02-20,Hanoi,18.4,91.4,winter
2016-02-20,Ho Chi Minh City,26.9,65.8,dry
2016-02-21,Hanoi,20.2,86.8,winter
2016-02-21,Ho Chi Minh City,29.0,68.0,dry
2016-02-22,Hanoi,14.8,87.4,winter
2016-02-22,Ho Chi Minh City,25.6,66.5,dry
2016-02-23,Hanoi,15.5,82.5,winter
2016-02-23,Ho Chi Minh City,27.7,75.4,dry
2016-02-24,Hanoi,16.4,91.4,winter
2016-02-24,Ho Chi Minh City,25.4,73.6,dry
2016-02-25,Hanoi,16.2,85.8,winter
2016-02-25,Ho Chi Minh City,26.9,65.0,dry
2016-02-26,Hanoi,20.0,91.3,winter
2016-02-26,Ho Chi Minh City,27.5,70.1,dry
2016-02-27,Hanoi,18.1,89.3,winter
2016-02-27,Ho Chi Minh City,26.0,66.5,dry
2016-02-28,Hanoi,18.5,77.7,winter
2016-02-28,Ho Chi Minh City,27.9,73.9,dry
2016-02-29,Hanoi,15.6,80.4,winter
2016-02-29,Ho Chi Minh City,28.9,71.2,dry
2016-03-01,Hanoi,22.9,87.2,spring
2016-03-01,Ho Chi Minh City,29.0,72.5,dry
2016-03-02,Hanoi,18.6,86.9,spring
2016-03-02,Ho Chi Minh City,27.4,63.3,dry
2016-03-03,Hanoi,19.5,88.5,spring
2016-03-03,Ho Chi Minh City,26.9,63.8,dry
2016-03-04,Hanoi,23.2,92.4,spring
2016-03-04,Ho Chi Minh City,27.3,76.3,dry
2016-03-05,Hanoi,17.9,86.2,spring
2016-03-05,Ho Chi Minh City,29.4,70.4,dry
2016-03-06,Hanoi,18.8,93.4,spring
2016-03-06,Ho Chi Minh City,29.0,74.0,dry
2016-03-07,Hanoi,22.6,89.3,spring
2016-03-07,Ho Chi Minh City,27.2,74.4,dry
2016-03-08,Hanoi,22.1,79.4,spring
2016-03-08,Ho Chi Minh City,27.9,73.8,dry
2016-03-09,Hanoi,21.4,81.6,spring
2016-03-09,Ho Chi Minh City,26.5,65.4,dry
2016-03-10,Hanoi,22.8,75.6,spring
2016-03-10,Ho Chi Minh City,28.0,68.1,dry
2016-03-11,Hanoi,23.2,92.1,spring
2016-03-11,Ho Chi Minh City,26.8,72.9,dry
2016-03-12,Hanoi,18.3,89.0,spring
2016-03-12,Ho Chi Minh City,26.2,65.1,dry
2016-03-13,Hanoi,23.2,77.9,spring
2016-03-13,Ho Chi Minh City,26.8,66.9,dry
2016-03-14,Hanoi,18.7,82.7,spring
2016-03-14,Ho Chi Minh City,26.6,65.3,dry
2016-03-15,Hanoi,21.2,76.0,spring
2016-03-15,Ho Chi Minh City,28.2,66.5,dry
2016-03-16,Hanoi,18.7,93.5,spring
2016-03-16,Ho Chi Minh City,27.5,77.2,dry
2016-03-17,Hanoi,20.6,88.1,spring
2016-03-17,Ho Chi Minh City,27.1,72.0,dry
2016-03-18,Hanoi,23.5,83.2,spring
2016-03-18,Ho Chi Minh City,29.8,69.6,dry
2016-03-19,Hanoi,19.7,93.1,spring
2016-03-19,Ho Chi Minh City,29.4,63.6,dry
2016-03-20,Hanoi,20.3,88.5,spring
2016-03-20,Ho Chi Minh City,26.8,65.6,dry
2016-03-21,Hanoi,22.3,89.3,spring
2016-03-21,Ho Chi Minh City,29.4,63.6,dry
2016-03-22,Hanoi,16.6,87.9,spring
2016-03-22,Ho Chi Minh City,27.5,77.0,dry
2016-03-23,Hanoi,18.8,87.6,spring
2016-03-23,Ho Chi Minh City,26.0,67.6,dry
2016-03-24,Hanoi,20.8,76.2,spring
2016-03-24,Ho Chi Minh City,29.4,62.3,dry
2016-03-25,Hanoi,21.3,91.9,spring
2016-03-25,Ho Chi Minh City,28.8,66.9,dry
2016-03-26,Hanoi,16.6,92.5,spring
2016-03-26,Ho Chi Minh City,28.4,71.3,dry
2016-03-27,Hanoi,21.0,85.5,spring
2016-03-27,Ho Chi Minh City,28.9,76.0,dry
2016-03-28,Hanoi,16.9,85.9,spring
2016-03-28,Ho Chi Minh City,28.5,62.5,dry
2016-03-29,Hanoi,20.2,75.4,spring
2016-03-29,Ho Chi Minh City,26.3,77.8,dry
2016-03-30,Hanoi,20.3,82.9,spring
2016-03-30,Ho Chi Minh City,28.1,66.2,dry
2016-03-31,Hanoi,17.7,92.4,spring
2016-03-31,Ho Chi Minh City,29.2,66.5,dry
2016-04-01,Hanoi,27.3,79.3,spring
2016-04-01,Ho Chi Minh City,30.3,78.7,dry
2016-04-02,Hanoi,26.0,81.5,spring
2016-04-02,Ho Chi Minh City,31.0,82.3,dry
2016-04-03,Hanoi,24.6,77.8,spring
2016-04-03,Ho Chi Minh City,29.7,70.8,dry
2016-04-04,Hanoi,21.3,91.7,spring
2016-04-04,Ho Chi Minh City,29.9,71.8,dry
2016-04-05,Hanoi,21.8,94.7,spring
2016-04-05,Ho Chi Minh City,28.6,73.1,dry
2016-04-06,Hanoi,20.8,76.1,spring
2016-04-06,Ho Chi Minh City,29.8,67.8,dry
2016-04-07,Hanoi,24.2,91.3,spring
2016-04-07,Ho Chi Minh City,27.8,77.8,dry
2016-04-08,Hanoi,21.4,82.1,spring
2016-04-08,Ho Chi Minh City,29.5,67.4,dry
2016-04-09,Hanoi,25.5,77.9,spring
2016-04-09,Ho Chi Minh City,28.4,75.8,dry
2016-04-10,Hanoi,23.0,80.5,spring
2016-04-10,Ho Chi Minh City,30.7,80.3,dry
2016-04-11,Hanoi,23.7,76.0,spring
2016-04-11,Ho Chi Minh City,27.6,75.4,dry
2016-04-12,Hanoi,21.4,81.3,spring
2016-04-12,Ho Chi Minh City,28.6,80.7,dry
2016-04-13,Hanoi,21.3,91.6,spring
2016-04-13,Ho Chi Minh City,30.0,70.2,dry
2016-04-14,Hanoi,22.7,83.6,spring
2016-04-14,Ho Chi Minh City,27.6,71.7,dry
2016-04-15,Hanoi,21.2,91.7,spring
2016-04-15,Ho Chi Minh City,29.2,69.8,dry
2016-04-16,Hanoi,26.7,91.3,spring
2016-04-16,Ho Chi Minh City,27.4,80.9,dry
2016-04-17,Hanoi,23.8,87.6,spring
2016-04-17,Ho Chi Minh City,28.9,73.4,dry
2016-04-18,Hanoi,25.7,77.4,spring
2016-04-18,Ho Chi Minh City,29.3,81.5,dry
2016-04-19,Hanoi,23.8,81.9,spring
2016-04-19,Ho Chi Minh City,29.7,82.9,dry
2016-04-20,Hanoi,22.0,83.7,spring
2016-04-20,Ho Chi Minh City,28.1,80.6,dry
2016-04-21,Hanoi,23.5,77.3,spring
2016-04-21,Ho Chi Minh City,29.0,68.9,dry
2016-04-22,Hanoi,22.9,93.1,spring
2016-04-22,Ho Chi Minh City,28.3,72.7,dry
2016-04-23,Hanoi,25.6,93.9,spring
2016-04-23,Ho Chi Minh City,27.9,82.1,dry
2016-04-24,Hanoi,21.2,86.6,spring
2016-04-24,Ho Chi Minh City,27.5,72.4,dry
2016-04-25,Hanoi,26.3,81.9,spring
2016-04-25,Ho Chi Minh City,28.8,68.1,dry
2016-04-26,Hanoi,22.9,78.8,spring
2016-04-26,Ho Chi Minh City,27.7,69.9,dry
2016-04-27,Hanoi,21.5,83.7,spring
2016-04-27,Ho Chi Minh City,27.3,69.0,dry
2016-04-28,Hanoi,26.0,83.7,spring
2016-04-28,Ho Chi Minh City,29.9,70.7,dry
2016-04-29,Hanoi,23.9,88.2,spring
2016-04-29,Ho Chi Minh City,28.4,77.4,dry
2016-04-30,Hanoi,24.4,91.7,spring
2016-04-30,Ho Chi Minh City,27.6,81.9,dry
2016-05-01,Hanoi,24.8,84.8,summer
2016-05-01,Ho Chi Minh City,28.3,83.6,wet
2016-05-02,Hanoi,30.8,72.5,summer
2016-05-02,Ho Chi Minh City,27.6,80.8,wet
2016-05-03,Hanoi,26.4,79.1,summer
2016-05-03,Ho Chi Minh City,27.8,87.7,wet
2016-05-04,Hanoi,24.5,85.5,summer
2016-05-04,Ho Chi Minh City,27.3,79.4,wet
2016-05-05,Hanoi,30.0,75.2,summer
2016-05-05,Ho Chi Minh City,28.9,78.6,wet
2016-05-06,Hanoi,29.0,72.8,summer
2016-05-06,Ho Chi Minh City,28.7,85.6,wet
2016-05-07,Hanoi,30.2,77.2,summer
2016-05-07,Ho Chi Minh City,28.9,87.6,wet
2016-05-08,Hanoi,26.1,70.8,summer
2016-05-08,Ho Chi Minh City,29.1,85.8,wet
2016-05-09,Hanoi,25.7,89.7,summer
2016-05-09,Ho Chi Minh City,30.1,77.8,wet
2016-05-10,Hanoi,25.3,83.9,summer
2016-05-10,Ho Chi Minh City,28.8,74.0,wet
2016-05-11,Hanoi,25.5,86.4,summer
2016-05-11,Ho Chi Minh City,29.2,72.6,wet
2016-05-12,Hanoi,28.3,84.5,summer
2016-05-12,Ho Chi Minh City,28.7,87.3,wet
2016-05-13,Hanoi,28.2,89.5,summer
2016-05-13,Ho Chi Minh City,28.6,86.8,wet
2016-05-14,Hanoi,28.5,89.0,summer
2016-05-14,Ho Chi Minh City,28.0,82.3,wet
2016-05-15,Hanoi,29.3,79.3,summer
2016-05-15,Ho Chi Minh City,29.1,80.4,wet
2016-05-16,Hanoi,25.6,89.6,summer
2016-05-16,Ho Chi Minh City,30.7,85.9,wet
2016-05-17,Hanoi,26.4,88.1,summer
2016-05-17,Ho Chi Minh City,28.2,85.4,wet
2016-05-18,Hanoi,31.3,87.6,summer
2016-05-18,Ho Chi Minh City,30.3,87.7,wet
2016-05-19,Hanoi,26.6,84.3,summer
2016-05-19,Ho Chi Minh City,28.2,81.5,wet
2016-05-20,Hanoi,29.6,80.1,summer
2016-05-20,Ho Chi Minh City,29.2,76.7,wet
2016-05-21,Hanoi,29.6,78.6,summer
2016-05-21,Ho Chi Minh City,28.7,78.3,wet
2016-05-22,Hanoi,27.8,82.3,summer
2016-05-22,Ho Chi Minh City,27.2,77.6,wet
2016-05-23,Hanoi,24.6,86.7,summer
2016-05-23,Ho Chi Minh City,28.0,85.9,wet
2016-05-24,Hanoi,25.3,78.1,summer
2016-05-24,Ho Chi Minh City,30.7,82.8,wet
2016-05-25,Hanoi,29.1,86.0,summer
2016-05-25,Ho Chi Minh City,28.6,87.6,wet
2016-05-26,Hanoi,27.0,83.0,summer
2016-05-26,Ho Chi Minh City,27.9,74.7,wet
2016-05-27,Hanoi,28.8,72.0,summer
2016-05-27,Ho Chi Minh City,30.9,74.6,wet
2016-05-28,Hanoi,30.9,76.5,summer
2016-05-28,Ho Chi Minh City,29.1,74.1,wet
2016-05-29,Hanoi,27.1,84.1,summer
2016-05-29,Ho Chi Minh City,29.8,73.4,wet
2016-05-30,Hanoi,26.1,74.3,summer
2016-05-30,Ho Chi Minh City,28.2,73.5,wet
2016-05-31,Hanoi,28.3,79.7,summer
2016-05-31,Ho Chi Minh City,28.6,74.1,wet
2016-06-01,Hanoi,30.0,84.5,summer
2016-06-01,Ho Chi Minh City,27.2,83.1,wet
2016-06-02,Hanoi,31.5,86.9,summer
2016-06-02,Ho Chi Minh City,26.3,77.8,wet
2016-06-03,Hanoi,27.3,79.8,summer
2016-06-03,Ho Chi Minh City,27.5,75.1,wet
2016-06-04,Hanoi,29.4,70.9,summer
2016-06-04,Ho Chi Minh City,30.0,77.4,wet
2016-06-05,Hanoi,26.7,73.0,summer
2016-06-05,Ho Chi Minh City,28.4,89.0,wet
2016-06-06,Hanoi,29.7,78.7,summer
2016-06-06,Ho Chi Minh City,26.9,75.7,wet
2016-06-07,Hanoi,32.1,76.5,summer
2016-06-07,Ho Chi Minh City,29.9,78.1,wet
2016-06-08,Hanoi,29.9,75.2,summer
2016-06-08,Ho Chi Minh City,29.7,76.2,wet
2016-06-09,Hanoi,28.1,72.3,summer
2016-06-09,Ho Chi Minh City,28.9,86.1,wet
2016-06-10,Hanoi,26.5,83.6,summer
2016-06-10,Ho Chi Minh City,27.1,83.2,wet
2016-06-11,Hanoi,31.6,83.7,summer
2016-06-11,Ho Chi Minh City,27.0,79.2,wet
2016-06-12,Hanoi,29.1,84.2,summer
2016-06-12,Ho Chi Minh City,28.5,88.6,wet
2016-06-13,Hanoi,30.2,88.6,summer
2016-06-13,Ho Chi Minh City,27.3,84.2,wet
2016-06-14,Hanoi,26.6,84.0,summer
2016-06-14,Ho Chi Minh City,27.1,79.3,wet
2016-06-15,Hanoi,29.6,71.1,summer
2016-06-15,Ho Chi Minh City,29.4,87.1,wet
2016-06-16,Hanoi,30.2,74.3,summer
2016-06-16,Ho Chi Minh City,29.6,90.4,wet
2016-06-17,Hanoi,27.9,76.1,summer
2016-06-17,Ho Chi Minh City,29.4,90.9,wet
2016-06-18,Hanoi,29.5,85.9,summer
2016-06-18,Ho Chi Minh City,26.4,84.0,wet
2016-06-19,Hanoi,27.9,86.3,summer
2016-06-19,Ho Chi Minh City,26.9,78.6,wet
2016-06-20,Hanoi,31.5,82.1,summer
2016-06-20,Ho Chi Minh City,26.5,88.8,wet
2016-06-21,Hanoi,28.6,81.5,summer
2016-06-21,Ho Chi Minh City,28.4,82.7,wet
2016-06-22,Hanoi,28.0,89.8,summer
2016-06-22,Ho Chi Minh City,26.7,88.3,wet
2016-06-23,Hanoi,27.6,81.0,summer
2016-06-23,Ho Chi Minh City,26.9,90.8,wet
2016-06-24,Hanoi,27.1,77.6,summer
2016-06-24,Ho Chi Minh City,29.7,78.3,wet
2016-06-25,Hanoi,32.7,75.2,summer
2016-06-25,Ho Chi Minh City,27.2,86.5,wet
2016-06-26,Hanoi,30.6,74.3,summer
2016-06-26,Ho Chi Minh City,29.6,86.4,wet
2016-06-27,Hanoi,31.3,74.6,summer
2016-06-27,Ho Chi Minh City,26.1,75.1,wet
2016-06-28,Hanoi,32.2,75.7,summer
2016-06-28,Ho Chi Minh City,28.3,90.4,wet
2016-06-29,Hanoi,28.3,76.3,summer
2016-06-29,Ho Chi Minh City,26.9,79.8,wet
2016-06-30,Hanoi,27.5,86.5,summer
2016-06-30,Ho Chi Minh City,26.6,88.5,wet
2016-07-01,Hanoi,30.1,93.0,summer
2016-07-01,Ho Chi Minh City,29.5,91.1,wet
2016-07-02,Hanoi,33.3,80.0,summer
2016-07-02,Ho Chi Minh City,27.4,81.4,wet
2016-07-03,Hanoi,29.4,82.5,summer
2016-07-03,Ho Chi Minh City,27.6,88.5,wet
2016-07-04,Hanoi,27.8,74.4,summer
2016-07-04,Ho Chi Minh City,26.1,86.1,wet
2016-07-05,Hanoi,28.2,79.1,summer
2016-07-05,Ho Chi Minh City,29.2,90.5,wet
2016-07-06,Hanoi,32.6,83.6,summer
2016-07-06,Ho Chi Minh City,26.9,90.5,wet
2016-07-07,Hanoi,32.7,90.8,summer
2016-07-07,Ho Chi Minh City,26.1,86.2,wet
2016-07-08,Hanoi,33.4,85.5,summer
2016-07-08,Ho Chi Minh City,28.1,88.4,wet
2016-07-09,Hanoi,30.3,82.2,summer
2016-07-09,Ho Chi Minh City,28.4,83.9,wet
2016-07-10,Hanoi,33.2,87.1,summer
2016-07-10,Ho Chi Minh City,27.2,92.1,wet
2016-07-11,Hanoi,28.6,90.9,summer
2016-07-11,Ho Chi Minh City,26.1,77.8,wet
2016-07-12,Hanoi,30.6,77.2,summer
2016-07-12,Ho Chi Minh City,28.3,92.7,wet
2016-07-13,Hanoi,30.9,89.3,summer
2016-07-13,Ho Chi Minh City,28.6,92.0,wet
2016-07-14,Hanoi,27.0,89.1,summer
2016-07-14,Ho Chi Minh City,27.2,79.9,wet
2016-07-15,Hanoi,26.9,84.8,summer
2016-07-15,Ho Chi Minh City,26.0,77.9,wet
2016-07-16,Hanoi,32.3,88.4,summer
2016-07-16,Ho Chi Minh City,29.7,91.1,wet
2016-07-17,Hanoi,31.8,85.4,summer
2016-07-17,Ho Chi Minh City,27.4,84.0,wet
2016-07-18,Hanoi,32.7,83.5,summer
2016-07-18,Ho Chi Minh City,27.5,78.2,wet
2016-07-19,Hanoi,26.7,86.4,summer
2016-07-19,Ho Chi Minh City,28.4,92.3,wet
2016-07-20,Hanoi,30.8,81.3,summer
2016-07-20,Ho Chi Minh City,28.2,92.0,wet
2016-07-21,Hanoi,27.3,84.2,summer
2016-07-21,Ho Chi Minh City,27.3,81.1,wet
2016-07-22,Hanoi,31.3,84.6,summer
2016-07-22,Ho Chi Minh City,27.6,91.1,wet
2016-07-23,Hanoi,31.7,85.3,summer
2016-07-23,Ho Chi Minh City,29.1,82.4,wet
2016-07-24,Hanoi,28.2,88.1,summer
2016-07-24,Ho Chi Minh City,28.5,85.6,wet
2016-07-25,Hanoi,32.6,91.2,summer
2016-07-25,Ho Chi Minh City,29.5,83.7,wet
2016-07-26,Hanoi,32.7,81.0,summer
2016-07-26,Ho Chi Minh City,27.2,78.9,wet
2016-07-27,Hanoi,32.1,84.7,summer
2016-07-27,Ho Chi Minh City,27.7,89.7,wet
2016-07-28,Hanoi,31.5,88.0,summer
2016-07-28,Ho Chi Minh City,29.2,92.7,wet
2016-07-29,Hanoi,29.7,87.7,summer
2016-07-29,Ho Chi Minh City,29.1,83.2,wet
2016-07-30,Hanoi,29.0,76.6,summer
2016-07-30,Ho Chi Minh City,28.8,79.1,wet
2016-07-31,Hanoi,28.1,77.8,summer
2016-07-31,Ho Chi Minh City,28.9,86.2,wet
2016-08-01,Hanoi,30.9,90.7,summer
2016-08-01,Ho Chi Minh City,29.9,81.5,wet
2016-08-02,Hanoi,32.3,83.5,summer
2016-08-02,Ho Chi Minh City,26.4,81.0,wet
2016-08-03,Hanoi,28.5,78.4,summer
2016-08-03,Ho Chi Minh City,29.6,84.6,wet
2016-08-04,Hanoi,26.6,92.2,summer
2016-08-04,Ho Chi Minh City,27.6,83.6,wet
2016-08-05,Hanoi,25.6,84.8,summer
2016-08-05,Ho Chi Minh City,26.2,86.1,wet
2016-08-06,Hanoi,26.5,87.4,summer
2016-08-06,Ho Chi Minh City,26.4,90.7,wet
2016-08-07,Hanoi,25.9,93.0,summer
2016-08-07,Ho Chi Minh City,28.8,88.0,wet
2016-08-08,Hanoi,25.8,80.5,summer
2016-08-08,Ho Chi Minh City,28.0,84.4,wet
2016-08-09,Hanoi,28.9,79.0,summer
2016-08-09,Ho Chi Minh City,27.8,84.4,wet
2016-08-10,Hanoi,32.4,84.7,summer
2016-08-10,Ho Chi Minh City,28.8,85.1,wet
2016-08-11,Hanoi,27.5,92.3,summer
2016-08-11,Ho Chi Minh City,27.3,80.0,wet
2016-08-12,Hanoi,31.0,78.2,summer
2016-08-12,Ho Chi Minh City,28.9,78.4,wet
2016-08-13,Hanoi,26.0,76.6,summer
2016-08-13,Ho Chi Minh City,28.6,92.3,wet
2016-08-14,Hanoi,31.1,78.2,summer
2016-08-14,Ho Chi Minh City,27.6,85.9,wet
2016-08-15,Hanoi,28.4,88.3,summer
2016-08-15,Ho Chi Minh City,28.5,81.4,wet
2016-08-16,Hanoi,30.6,93.7,summer
2016-08-16,Ho Chi Minh City,29.2,89.5,wet
2016-08-17,Hanoi,29.3,94.3,summer
2016-08-17,Ho Chi Minh City,28.0,84.4,wet
2016-08-18,Hanoi,26.7,90.2,summer
2016-08-18,Ho Chi Minh City,29.0,79.5,wet
2016-08-19,Hanoi,27.1,82.9,summer
2016-08-19,Ho Chi Minh City,28.2,80.3,wet
2016-08-20,Hanoi,31.3,86.1,summer
2016-08-20,Ho Chi Minh City,29.4,92.5,wet
2016-08-21,Hanoi,30.5,80.3,summer
2016-08-21,Ho Chi Minh City,26.5,84.6,wet
2016-08-22,Hanoi,31.9,89.1,summer
2016-08-22,Ho Chi Minh City,27.6,87.5,wet
2016-08-23,Hanoi,29.7,81.4,summer
2016-08-23,Ho Chi Minh City,28.4,77.8,wet
2016-08-24,Hanoi,29.9,75.7,summer
2016-08-24,Ho Chi Minh City,26.0,91.0,wet
2016-08-25,Hanoi,29.3,84.7,summer
2016-08-25,Ho Chi Minh City,26.8,79.1,wet
2016-08-26,Hanoi,29.1,77.4,summer
2016-08-26,Ho Chi Minh City,29.0,91.3,wet
2016-08-27,Hanoi,26.3,82.9,summer
2016-08-27,Ho Chi Minh City,26.8,90.9,wet
2016-08-28,Hanoi,32.0,77.4,summer
2016-08-28,Ho Chi Minh City,27.4,81.7,wet
2016-08-29,Hanoi,26.8,79.1,summer
2016-08-29,Ho Chi Minh City,28.0,84.0,wet
2016-08-30,Hanoi,25.8,86.6,summer
2016-08-30,Ho Chi Minh City,28.3,92.8,wet
2016-08-31,Hanoi,26.8,78.0,summer
2016-08-31,Ho Chi Minh City,29.0,78.7,wet
2016-09-01,Hanoi,31.0,80.8,fall
2016-09-01,Ho Chi Minh City,29.7,81.4,wet
2016-09-02,Hanoi,24.9,79.7,fall
2016-09-02,Ho Chi Minh City,27.4,95.0,wet
2016-09-03,Hanoi,25.8,79.0,fall
2016-09-03,Ho Chi Minh City,28.8,92.4,wet
2016-09-04,Hanoi,24.8,79.2,fall
2016-09-04,Ho Chi Minh City,26.4,88.9,wet
2016-09-05,Hanoi,28.3,84.3,fall
2016-09-05,Ho Chi Minh City,28.5,93.2,wet
2016-09-06,Hanoi,30.8,80.0,fall
2016-09-06,Ho Chi Minh City,29.4,93.2,wet
2016-09-07,Hanoi,27.9,73.5,fall
2016-09-07,Ho Chi Minh City,29.2,84.2,wet
2016-09-08,Hanoi,29.0,82.7,fall
2016-09-08,Ho Chi Minh City,28.8,80.2,wet
2016-09-09,Hanoi,29.0,74.2,fall
2016-09-09,Ho Chi Minh City,27.7,90.7,wet
2016-09-10,Hanoi,26.8,87.2,fall
2016-09-10,Ho Chi Minh City,29.4,94.0,wet
2016-09-11,Hanoi,29.8,92.2,fall
2016-09-11,Ho Chi Minh City,26.7,94.0,wet
2016-09-12,Hanoi,30.0,82.4,fall
2016-09-12,Ho Chi Minh City,28.5,92.0,wet
2016-09-13,Hanoi,25.6,75.5,fall
2016-09-13,Ho Chi Minh City,27.0,87.8,wet
2016-09-14,Hanoi,27.9,91.8,fall
2016-09-14,Ho Chi Minh City,28.5,81.5,wet
2016-09-15,Hanoi,26.0,90.9,fall
2016-09-15,Ho Chi Minh City,28.9,80.3,wet
2016-09-16,Hanoi,31.5,90.9,fall
2016-09-16,Ho Chi Minh City,28.5,88.4,wet
2016-09-17,Hanoi,30.4,81.0,fall
2016-09-17,Ho Chi Minh City,28.1,89.9,wet
2016-09-18,Hanoi,30.5,84.8,fall
2016-09-18,Ho Chi Minh City,29.1,80.6,wet
2016-09-19,Hanoi,31.2,85.3,fall
2016-09-19,Ho Chi Minh City,27.9,82.9,wet
2016-09-20,Hanoi,28.1,88.9,fall
